Tahun,Pagu Pelayanan Umum,Pagu Pertahanan,Pagu Ketertiban dan Keamanan,Pagu Ekonomi,Pagu Lingkungan Hidup,Pagu Perumahan dan Fasilitas Umum,Pagu Kesehatan,Pagu Pariwisata dan Budaya,Pagu Agama,Pagu Pendidikan,Pagu Perlindungan Sosial
2005,158559000000000,22001000000000,15586000000000,28016000000000,3105000000000,2280000000000,7038000000000,920000000000,691000000000,25988000000000,2036000000000
2006,263421000000000,28278000000000,25294000000000,39644000000000,4477000000000,6049000000000,12730000000000,1025000000000,1104000000000,43287000000000,2289000000000
2007,296828000000000,32722000000000,29211000000000,51250000000000,5478000000000,10659000000000,17467000000000,1676000000000,2208000000000,54067000000000,3210000000000
2008,372497000000000,13986000000000,15237000000000,63672000000000,6734000000000,14129000000000,17270000000000,1430000000000,922000000000,64029000000000,3525000000000
2009,494766000000000,12279000000000,14451000000000,56853000000000,7035000000000,18135000000000,17302000000000,1490000000000,830000000000,89918000000000,3318000000000
2010,495320000000000,20968000000000,14926000000000,57359000000000,7889000000000,20907000000000,18002000000000,1416000000000,913000000000,84086000000000,3457000000000
2011,517167000000000,47419000000000,22067000000000,101414000000000,11070000000000,23425000000000,13649000000000,2901000000000,1397000000000,91483000000000,4586000000000
2012,590841000000000,72473000000000,30196000000000,102734000000000,11451000000000,26477000000000,15564000000000,2454000000000,3562000000000,103667000000000,5578000000000
2013,720060000000000,81769000000000,36487000000000,122888000000000,12446000000000,30722000000000,17493000000000,2509000000000,4100000000000,118467000000000,7440000000000
2014,794772000000000,86307000000000,37953000000000,128274000000000,12179000000000,31487000000000,13078000000000,2053000000000,4463000000000,131314000000000,8063000000000
2015,891768000000000,96824000000000,46138000000000,143526000000000,10679000000000,20466000000000,21113000000000,1926000000000,5290000000000,146393000000000,8319000000000
2016,316533000000000,99649000000000,109794000000000,360226000000000,12088000000000,34651000000000,67214000000000,7433000000000,9785000000000,150900000000000,158089000000000
2017,355849000000000,108294000000000,121576000000000,310560000000000,11919000000000,29683000000000,61724000000000,5371000000000,9727000000000,143134000000000,157689000000000
2018,435905000000000,107829000000000,135993000000000,335464000000000,15680000000000,31508000000000,65066000000000,7456000000000,9473000000000,147562000000000,162557000000000
2019,517342000000000,108429000000000,142972000000000,389600000000000,17764000000000,26516000000000,62758000000000,5325000000000,10143000000000,152690000000000,200801000000000
2020,474999700000000,131246400000000,162729000000000,406175400000000,18360600000000,30359500000000,61148300000000,5056700000000,10090800000000,156894400000000,226416500000000
2021,526181300000000,137185600000000,166632200000000,511338100000000,16689900000000,33217300000000,111666700000000,5261400000000,11075800000000,175236500000000,260063600000000
2022,627121300000000,134645400000000,176676400000000,399963600000000,14109200000000,17291700000000,139502100000000,3725700000000,10598600000000,169230400000000,251678000000000
2023,663052900000000,131784800000000,175701600000000,630514000000000,13132300000000,31726500000000,97621200000000,3559700000000,11168700000000,230728400000000,241035200000000
2024,827706300000000,139101900000000,192802700000000,644178300000000,14128100000000,41798000000000,97429300000000,3396300000000,11762800000000,225072800000000,270151000000000
2025,730316700000000,245236500000000,229716000000000,707465000000000,8383400000000,19234800000000,124682200000000,2769000000000,13219100000000,309542400000000,272879500000000
